Subject,Start Date
Tacos,09/16/12
Shaving Cream Painting,09/17/12
Clay,09/18/12
Farm Animals,09/19/12
Sea Animals,09/20/12
Drawing Round Robin,09/21/12
Kool-Aid Painting,09/22/12
Holiday Art,09/23/12
Scratchboards,09/24/12
Leaf Collage,09/25/12
Bread Painting,09/26/12
Paper Mache,09/27/12
Bridge,09/28/12
Hershey's Chocolate,09/29/12
Handprint Turkeys,09/30/12
Digging for Treasure,10/01/12
Butterflies,10/02/12
Mandala,10/03/12
Spray Painting,10/04/12
Group Puzzle,10/05/12
Coloring Sand,10/06/12
Corn Syrup Painting,10/07/12
Coffee Filter Art,10/08/12
Confetti Collage,10/09/12
Stained Glass,10/10/12
Cooking,10/11/12
Picture Frames,10/12/12
Jewelry Making,10/13/12
Holiday Art,10/14/12
Sea Animals,10/15/12
Wash the Cars,10/16/12
Unwrapping Presents,10/17/12
Stamps,10/18/12
Clay,10/19/12
Pudding Painting,10/20/12
Tasty Paint,10/21/12
Cling Wrap Painting,10/22/12
Shapes Treasure Hunt,10/23/12
Body Trace,10/24/12
Paint a Rainbow,10/25/12
Tie Dye,10/26/12
Snowflakes,10/27/12
Paper Mache,10/28/12
Torn Paper Collage,10/29/12
Drawing Round Robin,10/30/12
Grow a garden,10/31/12
Shapes Treasure Hunt,11/01/12
Treasure Hunt,11/02/12
Popsicles,11/03/12
Name Plates,11/04/12
White Mud,11/05/12
Magic Goo,11/06/12
Leaf Paintings,11/07/12
Paper Plates,11/08/12
Foot/Hand Prints,11/09/12
Modeling dough,11/10/12
Picture Frames,11/11/12
Altered Books,11/12/12
Pizza,11/13/12
Coffee Filter Art,11/14/12
Handprint Turkey,11/15/12
Bird's Nest Drawing,11/16/12
Corn Cob Painting,11/17/12
Sea Animals,11/18/12
Decorate a pumpkin,11/19/12
Group Puzzle,11/20/12
Dream House,11/21/12
Mandala,11/22/12
Egg Painting,11/23/12
Cling Wrap Painting,11/24/12
Water Balloons,11/25/12
Snowflakes,11/26/12
Paint a Rainbow,11/27/12
Finger Paint,11/28/12
Book Cover about Yourself,11/29/12
Pudding Painting,11/30/12
Tie Dye,12/01/12
Pearler Beads,12/02/12
Magic Goo,12/03/12
Book Cover about Yourself,12/04/12
Animal Most Like/Least Like,12/05/12
Collage,12/06/12
Shield,12/07/12
Mural,12/08/12
Water Balloons,12/09/12
Chalk Painting,12/10/12
Shapes Treasure Hunt,12/11/12
Bread Painting,12/12/12
Handprint Turkeys,12/13/12
Paper Plates,12/14/12
Coloring,12/15/12
Gelatin Rainbow,12/16/12
Ornaments,12/17/12
Make a Card,12/18/12
Name Plates,12/19/12
Jewelry Making,12/20/12
Large Cutout Shape Puzzle,12/21/12
Stained Glass,12/22/12
Modeling dough,12/23/12
Kool-Aid Painting,12/24/12
Spray Painting,12/25/12
Group Puzzle,12/26/12
CD Cover,12/27/12
Cooking,12/28/12
Butterflies,12/29/12
Shadow Tracing/Painting,12/30/12
Mask-making,12/31/12
