Subject,Start Date
Modeling dough,05/18/12
Board Games,05/19/12
Salt Art,05/20/12
Drawing Round Robin,05/21/12
Butterflies,05/22/12
Spray Painting,05/23/12
Scratchboards,05/24/12
Decorate a pumpkin,05/25/12
Grow a garden,05/26/12
Leaf Paintings,05/27/12
Milk/Cookies,05/28/12
Golf Ball Painting,05/29/12
Gelatin Rainbow,05/30/12
Handprint Turkey,05/31/12
Hershey's Chocolate,06/01/12
Puffy Paint Painting,06/02/12
Body Trace,06/03/12
Mural,06/04/12
Desert Island,06/05/12
Paint a Rainbow,06/06/12
Picture Frames,06/07/12
Clay,06/08/12
Modeling dough,06/09/12
Farm Animals,06/10/12
Kool-Aid Painting,06/11/12
Large Cutout Shape Puzzle,06/12/12
Egg Painting,06/13/12
Coloring Sand,06/14/12
White T-Shirts,06/15/12
Water Balloons,06/16/12
Shaving Cream Painting,06/17/12
Tasty Paint,06/18/12
Self-stick paper collage,06/19/12
Paper Plates,06/20/12
Gelatin Rainbow,06/21/12
Pizza,06/22/12
Drawing Round Robin,06/23/12
Create your own Placemat,06/24/12
Stained Glass,06/25/12
Bread Painting,06/26/12
Mask-making,06/27/12
Leaf Collage,06/28/12
Bird's Nest Drawing,06/29/12
Book Cover about Yourself,06/30/12
Mural,07/01/12
White T-Shirts,07/02/12
Road Work,07/03/12
Picture Frames,07/04/12
Stamps,07/05/12
Marble Painting,07/06/12
Puffy Paint Painting,07/07/12
Board Games,07/08/12
Water Balloons,07/09/12
Pudding Painting,07/10/12
Teddy Bear Picnic,07/11/12
Digging for Treasure,07/12/12
Large Cutout Shape Puzzle,07/13/12
Obstacle Course,07/14/12
Jewelry Making,07/15/12
Bread Painting,07/16/12
Animal Most Like/Least Like,07/17/12
White Mud,07/18/12
Corn Syrup Painting,07/19/12
Confetti Collage,07/20/12
Cupcakes,07/21/12
Golf Ball Painting,07/22/12
Cling Wrap Painting,07/23/12
Tissue Paper Puzzle,07/24/12
Unwrapping Presents,07/25/12
Create a Town,07/26/12
Name Plates,07/27/12
Favorite Kind of Day,07/28/12
Handprint Turkey,07/29/12
Kool-Aid Painting,07/30/12
Coloring Sand,07/31/12
Paper Plates,08/01/12
Pearler Beads,08/02/12
Tasty Paint,08/03/12
Name Plates,08/04/12
White Mud,08/05/12
Butterflies,08/06/12
Handprint Turkeys,08/07/12
Snowflakes,08/08/12
Foot/Hand Prints,08/09/12
Body Trace,08/10/12
Large Cutout Shape Puzzle,08/11/12
Stamps,08/12/12
Mosaics,08/13/12
Milk Painting,08/14/12
Bread Painting,08/15/12
Cling Wrap Painting,08/16/12
Dream House,08/17/12
Create a Town,08/18/12
Make Kites,08/19/12
Milk/Cookies,08/20/12
Board Games,08/21/12
Animal Most Like/Least Like,08/22/12
Magic Goo,08/23/12
Sea Animals,08/24/12
Coloring Sand,08/25/12
Create your own Placemat,08/26/12
Paint a Rainbow,08/27/12
Mandala,08/28/12
Picture Frames,08/29/12
Tissue Paper Collage,08/30/12
Picture Frames,08/31/12
Body Trace,09/01/12
Large Cutout Shape Puzzle,09/02/12
Bridge,09/03/12
Shadow Tracing/Painting,09/04/12
Make a Wreath,09/05/12
Foot/Hand Prints,09/06/12
Drawing Round Robin,09/07/12
Pizza,09/08/12
Mandala,09/09/12
Holiday Art,09/10/12
Animal Most Like/Least Like,09/11/12
Snowflakes,09/12/12
Teddy Bear Picnic,09/13/12
Create a Town,09/14/12
Mask-making,09/15/12
Scratchboards,09/16/12
Tissue Paper Collage,09/17/12
Tasty Paint,09/18/12
Make Kites,09/19/12
Make a Card,09/20/12
Sea Animals,09/21/12
Corn Syrup Painting,09/22/12
Spray Painting,09/23/12
Tissue Paper Puzzle,09/24/12
Corn Cob Painting,09/25/12
Clay,09/26/12
Desert Island,09/27/12
Treasure Hunt,09/28/12
Ornaments,09/29/12
Leaf Collage,09/30/12
Shaving Cream Painting,10/01/12
Pearler Beads,10/02/12
Collage,10/03/12
Animal Most Like/Least Like,10/04/12
Coffee Filter Art,10/05/12
Popsicles,10/06/12
Shapes Treasure Hunt,10/07/12
Egg Painting,10/08/12
Make Lemonade,10/09/12
Handprint Turkey,10/10/12
Ornaments,10/11/12
Jewelry Making,10/12/12
Favorite Kind of Day,10/13/12
Sea Animals,10/14/12
Milk Painting,10/15/12
Obstacle Course,10/16/12
Stained Glass,10/17/12
Kool-Aid Painting,10/18/12
Paper Plates,10/19/12
Foot/Hand Prints,10/20/12
Make a Wreath,10/21/12
Mosaics,10/22/12
Board Games,10/23/12
Leaf Collage,10/24/12
Digging for Treasure,10/25/12
Corn Cob Painting,10/26/12
Self-stick paper collage,10/27/12
Hershey's Chocolate,10/28/12
Wash the Cars,10/29/12
Create a Town,10/30/12
Pizza,10/31/12
Tissue Paper Collage,11/01/12
Door Drawing,11/02/12
White Mud,11/03/12
Create Animal Environment,11/04/12
Shield,11/05/12
Butterflies,11/06/12
Dream House,11/07/12
Hershey's Chocolate,11/08/12
Milk/Cookies,11/09/12
Bread Painting,11/10/12
Paper Plates,11/11/12
Cling Wrap Painting,11/12/12
Modeling dough,11/13/12
Mural,11/14/12
Pudding Painting,11/15/12
Corn Syrup Painting,11/16/12
Torn Paper Collage,11/17/12
Chalk Painting,11/18/12
Puffy Paint Painting,11/19/12
Egg Painting,11/20/12
Decorate a pumpkin,11/21/12
Ornaments,11/22/12
Stained Glass,11/23/12
Snowflakes,11/24/12
Group Puzzle,11/25/12
Coloring Sand,11/26/12
Tie Dye,11/27/12
Confetti Collage,11/28/12
Bagel Faces,11/29/12
Paper Plates,11/30/12
Leaf Collage,12/01/12
Picture Frames,12/02/12
Leaf Paintings,12/03/12
Drawing Round Robin,12/04/12
Ornaments,12/05/12
Clay,12/06/12
Create your own Placemat,12/07/12
Magic Goo,12/08/12
Modeling dough,12/09/12
Mosaics,12/10/12
Decorate a pumpkin,12/11/12
Obstacle Course,12/12/12
Handprint Turkeys,12/13/12
Bagel Faces,12/14/12
Handprint Turkey,12/15/12
Bread Painting,12/16/12
Self-stick paper collage,12/17/12
White Mud,12/18/12
Shield,12/19/12
CD Cover,12/20/12
Coffee Filter Art,12/21/12
Stamps,12/22/12
Chalk Painting,12/23/12
Paper Plates,12/24/12
Desert Island,12/25/12
Hershey's Chocolate,12/26/12
Make a Card,12/27/12
Pizza,12/28/12
Tie Dye,12/29/12
Spray Painting,12/30/12
Cupcakes,12/31/12
