Subject,Start Date
Shadow Tracing/Painting,03/16/12
Salt Art,03/17/12
Popsicles,03/18/12
Make Lemonade,03/19/12
Decorate a pumpkin,03/20/12
Paper Plates,03/21/12
Create a Town,03/22/12
Picture Frames,03/23/12
Create Animal Environment,03/24/12
Pudding Painting,03/25/12
Picture Frames,03/26/12
Wash the Cars,03/27/12
Board Games,03/28/12
Corn Cob Painting,03/29/12
Butterflies,03/30/12
Favorite Kind of Day,03/31/12
Create a Town,04/01/12
Wash the Cars,04/02/12
Cooking,04/03/12
Rice Krispy Treats,04/04/12
Picture Frames,04/05/12
Puffy Paint Painting,04/06/12
Bagel Faces,04/07/12
Make a Card,04/08/12
Handprint Turkey,04/09/12
Marble Painting,04/10/12
Paper Plates,04/11/12
Pizza,04/12/12
Ornaments,04/13/12
Gelatin Rainbow,04/14/12
Pudding Painting,04/15/12
Water Balloons,04/16/12
Paper Plates,04/17/12
Bread Painting,04/18/12
CD Cover,04/19/12
Tacos,04/20/12
Door Drawing,04/21/12
Favorite Kind of Day,04/22/12
Farm Animals,04/23/12
Paper Mache,04/24/12
Digging for Treasure,04/25/12
Picture Frames,04/26/12
Mask-making,04/27/12
Shaving Cream Painting,04/28/12
Sea Animals,04/29/12
Leaf Collage,04/30/12
Foot/Hand Prints,05/01/12
Desert Island,05/02/12
Mandala,05/03/12
Mural,05/04/12
Make a Wreath,05/05/12
Milk/Cookies,05/06/12
Corn Cob Painting,05/07/12
Tie Dye,05/08/12
Altered Books,05/09/12
Mosaics,05/10/12
Paper Plates,05/11/12
Coloring Sand,05/12/12
Modeling dough,05/13/12
Favorite Kind of Day,05/14/12
Sea Animals,05/15/12
Puffy Paint Painting,05/16/12
Wash the Cars,05/17/12
Create a Town,05/18/12
Grow a garden,05/19/12
Unwrapping Presents,05/20/12
Rice Krispy Treats,05/21/12
Create Animal Environment,05/22/12
Tissue Paper Puzzle,05/23/12
Handprint Turkey,05/24/12
Popsicles,05/25/12
Milk Painting,05/26/12
Paper Mache,05/27/12
Scratchboards,05/28/12
Leaf Collage,05/29/12
Holiday Art,05/30/12
Kool-Aid Painting,05/31/12
Pudding Painting,06/01/12
Obstacle Course,06/02/12
White T-Shirts,06/03/12
Create Animal Environment,06/04/12
Wash the Cars,06/05/12
Gelatin Rainbow,06/06/12
Mask-making,06/07/12
Salt Art,06/08/12
Finger Paint,06/09/12
Mural,06/10/12
Corn Cob Painting,06/11/12
Tie Dye,06/12/12
Corn Syrup Painting,06/13/12
Drawing Round Robin,06/14/12
Magic Goo,06/15/12
Coloring,06/16/12
Animal Most Like/Least Like,06/17/12
Board Games,06/18/12
Bread Painting,06/19/12
Collage,06/20/12
Tissue Paper Collage,06/21/12
Clay,06/22/12
Scratchboards,06/23/12
Foot/Hand Prints,06/24/12
Make a Card,06/25/12
Leaf Collage,06/26/12
Egg Painting,06/27/12
Tasty Paint,06/28/12
Butterflies,06/29/12
Water Balloons,06/30/12
Kool-Aid Painting,07/01/12
Finger Paint,07/02/12
Egg Painting,07/03/12
Butterflies,07/04/12
Coloring Sand,07/05/12
Make a Wreath,07/06/12
Cupcakes,07/07/12
Treasure Hunt,07/08/12
Self-stick paper collage,07/09/12
Make a Card,07/10/12
Pearler Beads,07/11/12
Marble Painting,07/12/12
CD Cover,07/13/12
Leaf Collage,07/14/12
Collage,07/15/12
Golf Ball Painting,07/16/12
Tissue Paper Puzzle,07/17/12
Animal Most Like/Least Like,07/18/12
Milk/Cookies,07/19/12
Wash the Cars,07/20/12
Clay,07/21/12
Paper Plates,07/22/12
Decorate a pumpkin,07/23/12
Shadow Tracing/Painting,07/24/12
Create Animal Environment,07/25/12
Leaf Paintings,07/26/12
Salt Art,07/27/12
Shapes Treasure Hunt,07/28/12
Obstacle Course,07/29/12
Paper Plates,07/30/12
Snowflakes,07/31/12
Stained Glass,08/01/12
Clay,08/02/12
Treasure Hunt,08/03/12
Bagel Faces,08/04/12
Picture Frames,08/05/12
Picture Frames,08/06/12
Coloring,08/07/12
Scratchboards,08/08/12
Large Cutout Shape Puzzle,08/09/12
Kool-Aid Painting,08/10/12
Road Work,08/11/12
Corn Syrup Painting,08/12/12
Puffy Paint Painting,08/13/12
Chalk Painting,08/14/12
Bread Painting,08/15/12
Digging for Treasure,08/16/12
Gelatin Rainbow,08/17/12
Music Making,08/18/12
Paper Plates,08/19/12
Paper Plates,08/20/12
Cling Wrap Painting,08/21/12
Self-stick paper collage,08/22/12
Bird's Nest Drawing,08/23/12
Create a Town,08/24/12
Water Balloons,08/25/12
CD Cover,08/26/12
Leaf Paintings,08/27/12
Leaf Collage,08/28/12
Grow a garden,08/29/12
Name Plates,08/30/12
Foot/Hand Prints,08/31/12
Bird's Nest Drawing,09/01/12
Pizza,09/02/12
White Mud,09/03/12
Holiday Art,09/04/12
Create a Town,09/05/12
Shapes Treasure Hunt,09/06/12
Make Lemonade,09/07/12
Marble Painting,09/08/12
Tie Dye,09/09/12
Obstacle Course,09/10/12
CD Cover,09/11/12
Paper Plates,09/12/12
Finger Paint,09/13/12
Make a Wreath,09/14/12
Modeling dough,09/15/12
Paper Plates,09/16/12
Leaf Paintings,09/17/12
Shield,09/18/12
Chalk Painting,09/19/12
Mask-making,09/20/12
Snowflakes,09/21/12
Corn Syrup Painting,09/22/12
Shaving Cream Painting,09/23/12
Hershey's Chocolate,09/24/12
Self-stick paper collage,09/25/12
Create Animal Environment,09/26/12
Body Trace,09/27/12
Egg Painting,09/28/12
Door Drawing,09/29/12
Coloring Sand,09/30/12
Cupcakes,10/01/12
Farm Animals,10/02/12
Road Work,10/03/12
Coffee Filter Art,10/04/12
Collage,10/05/12
Tasty Paint,10/06/12
Group Puzzle,10/07/12
Puffy Paint Painting,10/08/12
Make Kites,10/09/12
Create Animal Environment,10/10/12
Modeling dough,10/11/12
Large Cutout Shape Puzzle,10/12/12
White T-Shirts,10/13/12
Picture Frames,10/14/12
Hershey's Chocolate,10/15/12
Self-stick paper collage,10/16/12
Unwrapping Presents,10/17/12
Mandala,10/18/12
Handprint Turkeys,10/19/12
Popsicles,10/20/12
Mask-making,10/21/12
Stained Glass,10/22/12
Milk Painting,10/23/12
Decorate a pumpkin,10/24/12
Board Games,10/25/12
Milk/Cookies,10/26/12
Cooking,10/27/12
Stamps,10/28/12
Leaf Collage,10/29/12
Coloring Sand,10/30/12
Picture Frames,10/31/12
Magic Goo,11/01/12
Name Plates,11/02/12
Favorite Kind of Day,11/03/12
Mandala,11/04/12
Milk Painting,11/05/12
Animal Most Like/Least Like,11/06/12
Bird's Nest Drawing,11/07/12
Grow a garden,11/08/12
Group Puzzle,11/09/12
Picture Frames,11/10/12
Paper Plates,11/11/12
Mask-making,11/12/12
Bread Painting,11/13/12
Butterflies,11/14/12
Create Animal Environment,11/15/12
Confetti Collage,11/16/12
Torn Paper Collage,11/17/12
Bagel Faces,11/18/12
Stained Glass,11/19/12
Shapes Treasure Hunt,11/20/12
Jewelry Making,11/21/12
Cling Wrap Painting,11/22/12
Tasty Paint,11/23/12
Treasure Hunt,11/24/12
Rice Krispy Treats,11/25/12
Spray Painting,11/26/12
Popsicles,11/27/12
Cupcakes,11/28/12
Altered Books,11/29/12
Body Trace,11/30/12
Paint a Rainbow,12/01/12
Bread Painting,12/02/12
Tasty Paint,12/03/12
Tissue Paper Puzzle,12/04/12
Digging for Treasure,12/05/12
Spray Painting,12/06/12
Cupcakes,12/07/12
Bird's Nest Drawing,12/08/12
Popsicles,12/09/12
Name Plates,12/10/12
Coloring,12/11/12
Group Puzzle,12/12/12
Pizza,12/13/12
Salt Art,12/14/12
Foot/Hand Prints,12/15/12
Pearler Beads,12/16/12
Shield,12/17/12
Door Drawing,12/18/12
Paper Plates,12/19/12
Snowflakes,12/20/12
Holiday Art,12/21/12
Mosaics,12/22/12
Butterflies,12/23/12
Unwrapping Presents,12/24/12
Wash the Cars,12/25/12
Tie Dye,12/26/12
Animal Most Like/Least Like,12/27/12
Farm Animals,12/28/12
Cling Wrap Painting,12/29/12
Shapes Treasure Hunt,12/30/12
Finger Paint,12/31/12
