Subject,Start Date,End Date
Mural,09/19/12,
Teddy Bear Picnic,09/20/12,
Golf Ball Painting,09/21/12,
Ice Cream Cone Day,09/22/12,
Digging for Treasure,09/23/12,
Pearler Beads,09/24/12,
Desert Island,09/25/12,
National Pancake Day,09/26/12,
Google's Birthday,09/27/12,
Group Puzzle,09/28/12,
National Coffee Day,09/29/12,
Ornaments,09/30/12,
CD Player Day; Blue Shirt Day; Homemade Cookies Day,10/01/12,
World Farm Animals Day,10/02/12,
Balloons Around the World Day; Look at the Leaves Day,10/03/12,
National Taco Day,10/04/12,
World Smile Day,10/05/12,
National Noodle Day,10/06/12,
Confetti Collage,10/07/12,
Columbus Day; Native American Day,10/08/12,
National Chess Day; The Count's Birthday,10/09/12,
Marble Painting,10/10/12,
Mosaics,10/11/12,
Farmer's Day,10/12/12,
Treasure Hunt,10/13/12,
Grover's Birthday,10/14/12,
National Grouch Day,10/15/12,
Dictionary Day,10/16/12,
National Pasta Day,10/17/12,
National Chocolate Cupcake Day,10/18/12,
Name Plates,10/19/12,
Bridge Day,10/20/12,
Picture Frames,10/21/12,
Shield,10/22/12,
IPod Day; Crayola Crayons First Sold,10/23/12,
Food Day,10/24/12,
World Pasta Day,10/25/12,
National Pumpkin Day,10/26/12,
National Potato Day,10/27/12,
National Chocolate's Day,10/28/12,
Oatmeal Day,10/29/12,
Butterflies,10/30/12,
Gelatin Rainbow,10/31/12,
All Saints' Day,11/01/12,
Cookie Monster Day; Look for Circles Day,11/02/12,
Sandwich Day,11/03/12,
National Candy Day,11/04/12,
National Donut Day,11/05/12,
Saxophone Day; Basketball Day,11/06/12,
Magazine Day,11/07/12,
Cling Wrap Painting,11/08/12,
Domino Day,11/09/12,
National Gaming Day; Sesame Street Day,11/10/12,
Origami Day; Veterans Day,11/11/12,
Tissue Paper Puzzle,11/12/12,
Hershey's Chocolate,11/13/12,
National American Teddy Bear Day,11/14/12,
Make a Card,11/15/12,
Button Day,11/16/12,
Homemade Bread Day,11/17/12,
Mickey Mouse Day,11/18/12,
Rocky and Bullwinkle Day,11/19/12,
Handprint Turkeys,11/20/12,
Gingerbread Day,11/21/12,
Thanksgiving Day,11/22/12,
Sea Animals,11/23/12,
Name Plates,11/24/12,
"Rudolph, the Red-Nosed Reindeer Released",11/25/12,
National Cake Day,11/26/12,
Stained Glass,11/27/12,
Scratchboards,11/28/12,
Stamps,11/29/12,
Foot/Hand Prints,11/30/12,
Basketball Created,12/01/12,
Coffee Filter Art,12/02/12,
Telescope Day,12/03/12,
National Cookie Day,12/04/12,
Puffy Paint Painting,12/05/12,
St. Nicholas Day,12/06/12,
Letter Writing Day,12/07/12,
Altered Books,12/08/12,
Christmas Card Day,12/09/12,
Unwrapping Presents,12/10/12,
White Mud,12/11/12,
Leaf Collage,12/12/12,
Group Puzzle,12/13/12,
Rice Krispy Treats,12/14/12,
Mural,12/15/12,
Shield,12/16/12,
Coloring,12/17/12,
Bake Cookies Day,12/18/12,
Golf Ball Painting,12/19/12,
Go Caroling Day; Games Day,12/20/12,
Crossword Puzzle Day; National Flashlight Day,12/21/12,
First Christmas Lights,12/22/12,
Tissue Paper Collage,12/23/12,
Christmas Eve,12/24/12,
Christmas Day,12/25/12,
National Candy Cane Day,12/26/12,
Make Cutout Snowflakes Day,12/27/12,
Bread Painting,12/28/12,
Bowling Ball Invented,12/29/12,
White T-Shirts,12/30/12,
New Year's Eve,12/31/12,
(Elvis' Birthday Celebration Week,01/05/12,01/08/12
Jello Week),02/12/12,02/18/12
Children's Book Week,05/07/12,05/13/12
Reading is Fun Week,05/13/12,05/19/12
National Backyard Games Week,05/21/12,05/25/12
Superman Week,06/07/12,06/10/12
National Flag Week,06/10/12,06/16/12
Rabbit Week,07/15/12,07/21/12
International Clown Week,08/01/12,08/07/12
Exercise with Your Child Week,08/06/12,08/12/12
Elvis Week,08/10/12,08/18/12
National Scrabble Week,08/11/12,08/15/12
National Waffle Week,09/02/12,09/08/12
Popcorn Festival,09/06/12,09/08/12
Deaf Awareness Week,09/16/12,09/22/12
National Newspaper Week,10/01/12,10/05/12
National Storytelling Weekend,10/05/12,10/07/12
Dear Santa Letter Week,11/07/12,11/13/12
National Game and Puzzle Week,11/18/12,11/24/12
Cookie Cutter Week,12/01/12,12/07/12
