Subject,Start Date
Holiday Art,10/06/12
Ornaments,10/07/12
Door Drawing,10/08/12
Magic Goo,10/09/12
Bread Painting,10/10/12
Shaving Cream Painting,10/11/12
Scratchboards,10/12/12
Paper Plates,10/13/12
Coloring,10/14/12
Name Plates,10/15/12
Teddy Bear Picnic,10/16/12
Leaf Collage,10/17/12
Pearler Beads,10/18/12
Cupcakes,10/19/12
Mandala,10/20/12
Road Work,10/21/12
Desert Island,10/22/12
White Mud,10/23/12
Coffee Filter Art,10/24/12
White T-Shirts,10/25/12
Popsicles,10/26/12
Gelatin Rainbow,10/27/12
Book Cover about Yourself,10/28/12
Marble Painting,10/29/12
Music Making,10/30/12
Bridge,10/31/12
Drawing Round Robin,11/01/12
Butterflies,11/02/12
White T-Shirts,11/03/12
Leaf Paintings,11/04/12
Sea Animals,11/05/12
Mosaics,11/06/12
Bread Painting,11/07/12
Popsicles,11/08/12
Mask-making,11/09/12
White Mud,11/10/12
Altered Books,11/11/12
Create a Town,11/12/12
Magic Goo,11/13/12
Stained Glass,11/14/12
Farm Animals,11/15/12
Shadow Tracing/Painting,11/16/12
Milk/Cookies,11/17/12
Dream House,11/18/12
Cooking,11/19/12
Make a Wreath,11/20/12
Corn Cob Painting,11/21/12
Body Trace,11/22/12
Board Games,11/23/12
Bagel Faces,11/24/12
Tie Dye,11/25/12
Decorate a pumpkin,11/26/12
Make Kites,11/27/12
Finger Paint,11/28/12
Mural,11/29/12
Mandala,11/30/12
Confetti Collage,12/01/12
Egg Painting,12/02/12
Treasure Hunt,12/03/12
Magic Goo,12/04/12
Tissue Paper Collage,12/05/12
Bread Painting,12/06/12
Scratchboards,12/07/12
Tie Dye,12/08/12
Body Trace,12/09/12
Group Puzzle,12/10/12
Mosaics,12/11/12
Mask-making,12/12/12
Self-stick paper collage,12/13/12
Picture Frames,12/14/12
Water Balloons,12/15/12
Large Cutout Shape Puzzle,12/16/12
Pizza,12/17/12
Dream House,12/18/12
Shaving Cream Painting,12/19/12
Road Work,12/20/12
Torn Paper Collage,12/21/12
Wash the Cars,12/22/12
Bagel Faces,12/23/12
White Mud,12/24/12
Corn Cob Painting,12/25/12
Snowflakes,12/26/12
Animal Most Like/Least Like,12/27/12
Milk Painting,12/28/12
Drawing Round Robin,12/29/12
Hershey's Chocolate,12/30/12
Coffee Filter Art,12/31/12
