Subject,Start Date
Bagel Faces,06/24/12
CD Cover,06/25/12
Mandala,06/26/12
White Mud,06/27/12
Torn Paper Collage,06/28/12
Jewelry Making,06/29/12
Foot/Hand Prints,06/30/12
Finger Paint,07/01/12
Large Cutout Shape Puzzle,07/02/12
Scratchboards,07/03/12
Bagel Faces,07/04/12
Mural,07/05/12
Leaf Paintings,07/06/12
Paint a Rainbow,07/07/12
Stamps,07/08/12
Digging for Treasure,07/09/12
Book Cover about Yourself,07/10/12
Kool-Aid Painting,07/11/12
White Mud,07/12/12
Magic Goo,07/13/12
Modeling dough,07/14/12
Ornaments,07/15/12
Wash the Cars,07/16/12
Tie Dye,07/17/12
Collage,07/18/12
Bread Painting,07/19/12
Make a Card,07/20/12
Clay,07/21/12
Shield,07/22/12
White T-Shirts,07/23/12
Holiday Art,07/24/12
Treasure Hunt,07/25/12
Cling Wrap Painting,07/26/12
Tissue Paper Collage,07/27/12
Music Making,07/28/12
Shaving Cream Painting,07/29/12
Coloring,07/30/12
Water Balloons,07/31/12
Unwrapping Presents,08/01/12
Coloring Sand,08/02/12
Collage,08/03/12
Bread Painting,08/04/12
Dream House,08/05/12
Cooking,08/06/12
Make Kites,08/07/12
Confetti Collage,08/08/12
Magic Goo,08/09/12
Create Animal Environment,08/10/12
Gelatin Rainbow,08/11/12
Stained Glass,08/12/12
Egg Painting,08/13/12
Pizza,08/14/12
Favorite Kind of Day,08/15/12
Tasty Paint,08/16/12
Coloring,08/17/12
Decorate a pumpkin,08/18/12
Scratchboards,08/19/12
Grow a garden,08/20/12
CD Cover,08/21/12
Torn Paper Collage,08/22/12
Water Balloons,08/23/12
Teddy Bear Picnic,08/24/12
Shaving Cream Painting,08/25/12
Self-stick paper collage,08/26/12
Picture Frames,08/27/12
Paper Plates,08/28/12
Tissue Paper Puzzle,08/29/12
Paper Plates,08/30/12
Create your own Placemat,08/31/12
Paint a Rainbow,09/01/12
Cling Wrap Painting,09/02/12
Shield,09/03/12
Mask-making,09/04/12
Dream House,09/05/12
Shapes Treasure Hunt,09/06/12
White Mud,09/07/12
Handprint Turkey,09/08/12
Shadow Tracing/Painting,09/09/12
Gelatin Rainbow,09/10/12
Mural,09/11/12
Handprint Turkeys,09/12/12
Coloring,09/13/12
Create Animal Environment,09/14/12
Scratchboards,09/15/12
Rice Krispy Treats,09/16/12
Corn Cob Painting,09/17/12
Snowflakes,09/18/12
Hershey's Chocolate,09/19/12
Book Cover about Yourself,09/20/12
Bread Painting,09/21/12
Clay,09/22/12
Drawing Round Robin,09/23/12
Egg Painting,09/24/12
Holiday Art,09/25/12
Mandala,09/26/12
Puffy Paint Painting,09/27/12
Modeling dough,09/28/12
Bridge,09/29/12
Finger Paint,09/30/12
Egg Painting,10/01/12
Gelatin Rainbow,10/02/12
White Mud,10/03/12
Book Cover about Yourself,10/04/12
Spray Painting,10/05/12
Milk/Cookies,10/06/12
Tasty Paint,10/07/12
Wash the Cars,10/08/12
Grow a garden,10/09/12
Make a Card,10/10/12
Name Plates,10/11/12
Pearler Beads,10/12/12
Shapes Treasure Hunt,10/13/12
Create Animal Environment,10/14/12
Scratchboards,10/15/12
Unwrapping Presents,10/16/12
Stained Glass,10/17/12
Paper Mache,10/18/12
Picture Frames,10/19/12
Bridge,10/20/12
Paper Plates,10/21/12
Handprint Turkeys,10/22/12
Door Drawing,10/23/12
Corn Cob Painting,10/24/12
Leaf Collage,10/25/12
Desert Island,10/26/12
Picture Frames,10/27/12
Hershey's Chocolate,10/28/12
Cooking,10/29/12
Favorite Kind of Day,10/30/12
Road Work,10/31/12
Cooking,11/01/12
Mask-making,11/02/12
Large Cutout Shape Puzzle,11/03/12
Magic Goo,11/04/12
Rice Krispy Treats,11/05/12
Farm Animals,11/06/12
Tasty Paint,11/07/12
Mosaics,11/08/12
Road Work,11/09/12
Egg Painting,11/10/12
Digging for Treasure,11/11/12
Modeling dough,11/12/12
Picture Frames,11/13/12
Water Balloons,11/14/12
Obstacle Course,11/15/12
Paint a Rainbow,11/16/12
Shield,11/17/12
Holiday Art,11/18/12
Tissue Paper Collage,11/19/12
Jewelry Making,11/20/12
Leaf Collage,11/21/12
Altered Books,11/22/12
Pudding Painting,11/23/12
Create Animal Environment,11/24/12
Body Trace,11/25/12
Bagel Faces,11/26/12
Corn Syrup Painting,11/27/12
Drawing Round Robin,11/28/12
Sea Animals,11/29/12
Make Lemonade,11/30/12
Pearler Beads,12/01/12
Create Animal Environment,12/02/12
Make a Wreath,12/03/12
Bread Painting,12/04/12
Holiday Art,12/05/12
Body Trace,12/06/12
Pudding Painting,12/07/12
Shaving Cream Painting,12/08/12
Spray Painting,12/09/12
Stamps,12/10/12
Clay,12/11/12
Make Lemonade,12/12/12
Dream House,12/13/12
Rice Krispy Treats,12/14/12
Tasty Paint,12/15/12
Coffee Filter Art,12/16/12
Ornaments,12/17/12
Make a Card,12/18/12
Tissue Paper Puzzle,12/19/12
Desert Island,12/20/12
Coloring Sand,12/21/12
Cupcakes,12/22/12
Digging for Treasure,12/23/12
White Mud,12/24/12
Book Cover about Yourself,12/25/12
Tacos,12/26/12
Collage,12/27/12
Make Kites,12/28/12
White T-Shirts,12/29/12
Salt Art,12/30/12
Bridge,12/31/12
