Subject,Start Date
Milk Painting,04/28/12
Finger Paint,04/29/12
Tissue Paper Puzzle,04/30/12
Corn Syrup Painting,05/01/12
Magic Goo,05/02/12
Stamps,05/03/12
Mandala,05/04/12
Music Making,05/05/12
Collage,05/06/12
Favorite Kind of Day,05/07/12
White T-Shirts,05/08/12
Egg Painting,05/09/12
Digging for Treasure,05/10/12
Board Games,05/11/12
Dream House,05/12/12
Handprint Turkey,05/13/12
Make a Card,05/14/12
Bagel Faces,05/15/12
Teddy Bear Picnic,05/16/12
Water Balloons,05/17/12
Butterflies,05/18/12
Salt Art,05/19/12
Picture Frames,05/20/12
Cupcakes,05/21/12
Unwrapping Presents,05/22/12
Scratchboards,05/23/12
Milk Painting,05/24/12
Marble Painting,05/25/12
Treasure Hunt,05/26/12
Pearler Beads,05/27/12
Wash the Cars,05/28/12
CD Cover,05/29/12
Handprint Turkeys,05/30/12
Ornaments,05/31/12
Group Puzzle,06/01/12
Mask-making,06/02/12
Kool-Aid Painting,06/03/12
Coloring Sand,06/04/12
Picture Frames,06/05/12
Hershey's Chocolate,06/06/12
Handprint Turkeys,06/07/12
Bridge,06/08/12
Create Animal Environment,06/09/12
Cooking,06/10/12
Leaf Paintings,06/11/12
Large Cutout Shape Puzzle,06/12/12
Pudding Painting,06/13/12
Stamps,06/14/12
Book Cover about Yourself,06/15/12
CD Cover,06/16/12
Make Lemonade,06/17/12
Scratchboards,06/18/12
Finger Paint,06/19/12
Rice Krispy Treats,06/20/12
Foot/Hand Prints,06/21/12
Corn Syrup Painting,06/22/12
Drawing Round Robin,06/23/12
Snowflakes,06/24/12
Decorate a pumpkin,06/25/12
Handprint Turkey,06/26/12
White T-Shirts,06/27/12
Collage,06/28/12
Corn Cob Painting,06/29/12
Clay,06/30/12
Sea Animals,07/01/12
Torn Paper Collage,07/02/12
Bird's Nest Drawing,07/03/12
Tasty Paint,07/04/12
Create a Town,07/05/12
Door Drawing,07/06/12
Create your own Placemat,07/07/12
Corn Cob Painting,07/08/12
Corn Syrup Painting,07/09/12
Leaf Collage,07/10/12
Paper Plates,07/11/12
Chalk Painting,07/12/12
White T-Shirts,07/13/12
Animal Most Like/Least Like,07/14/12
Paper Mache,07/15/12
Obstacle Course,07/16/12
Create Animal Environment,07/17/12
Popsicles,07/18/12
Egg Painting,07/19/12
Bagel Faces,07/20/12
Name Plates,07/21/12
Cooking,07/22/12
Stamps,07/23/12
Tie Dye,07/24/12
Music Making,07/25/12
Large Cutout Shape Puzzle,07/26/12
Picture Frames,07/27/12
Book Cover about Yourself,07/28/12
Milk/Cookies,07/29/12
Pizza,07/30/12
Tacos,07/31/12
Road Work,08/01/12
Tacos,08/02/12
Sea Animals,08/03/12
Rice Krispy Treats,08/04/12
Shadow Tracing/Painting,08/05/12
Chalk Painting,08/06/12
Leaf Collage,08/07/12
Animal Most Like/Least Like,08/08/12
Paper Mache,08/09/12
Coloring,08/10/12
Mask-making,08/11/12
Bridge,08/12/12
Make a Wreath,08/13/12
Salt Art,08/14/12
Jewelry Making,08/15/12
Hershey's Chocolate,08/16/12
Tissue Paper Collage,08/17/12
Paint a Rainbow,08/18/12
Magic Goo,08/19/12
Mandala,08/20/12
Cooking,08/21/12
Create a Town,08/22/12
Collage,08/23/12
Dream House,08/24/12
Favorite Kind of Day,08/25/12
Coffee Filter Art,08/26/12
Handprint Turkeys,08/27/12
Bagel Faces,08/28/12
Leaf Paintings,08/29/12
Shield,08/30/12
Tie Dye,08/31/12
Corn Cob Painting,09/01/12
Mask-making,09/02/12
Name Plates,09/03/12
Picture Frames,09/04/12
Butterflies,09/05/12
Sea Animals,09/06/12
Cling Wrap Painting,09/07/12
Chalk Painting,09/08/12
Bread Painting,09/09/12
Handprint Turkey,09/10/12
Animal Most Like/Least Like,09/11/12
Pizza,09/12/12
Foot/Hand Prints,09/13/12
Make Lemonade,09/14/12
Rice Krispy Treats,09/15/12
Group Puzzle,09/16/12
Body Trace,09/17/12
White Mud,09/18/12
Create Animal Environment,09/19/12
Modeling dough,09/20/12
Farm Animals,09/21/12
Wash the Cars,09/22/12
Shield,09/23/12
Snowflakes,09/24/12
Digging for Treasure,09/25/12
Desert Island,09/26/12
Drawing Round Robin,09/27/12
Milk Painting,09/28/12
Mosaics,09/29/12
Dream House,09/30/12
White Mud,10/01/12
Drawing Round Robin,10/02/12
Altered Books,10/03/12
Board Games,10/04/12
Paper Plates,10/05/12
Puffy Paint Painting,10/06/12
Butterflies,10/07/12
Magic Goo,10/08/12
Grow a garden,10/09/12
Cupcakes,10/10/12
Tasty Paint,10/11/12
Clay,10/12/12
Foot/Hand Prints,10/13/12
Kool-Aid Painting,10/14/12
Decorate a pumpkin,10/15/12
Rice Krispy Treats,10/16/12
Hershey's Chocolate,10/17/12
Egg Painting,10/18/12
Dream House,10/19/12
Road Work,10/20/12
Self-stick paper collage,10/21/12
Wash the Cars,10/22/12
Create a Town,10/23/12
CD Cover,10/24/12
Jewelry Making,10/25/12
Make a Card,10/26/12
Milk/Cookies,10/27/12
Door Drawing,10/28/12
Picture Frames,10/29/12
Music Making,10/30/12
Marble Painting,10/31/12
Marble Painting,11/01/12
Desert Island,11/02/12
Butterflies,11/03/12
Salt Art,11/04/12
Wash the Cars,11/05/12
Mural,11/06/12
Create a Town,11/07/12
Shapes Treasure Hunt,11/08/12
Teddy Bear Picnic,11/09/12
Music Making,11/10/12
Puffy Paint Painting,11/11/12
Make a Wreath,11/12/12
Animal Most Like/Least Like,11/13/12
Bird's Nest Drawing,11/14/12
Confetti Collage,11/15/12
Farm Animals,11/16/12
Rice Krispy Treats,11/17/12
Door Drawing,11/18/12
Shield,11/19/12
Stamps,11/20/12
Make Kites,11/21/12
Kool-Aid Painting,11/22/12
Mandala,11/23/12
Holiday Art,11/24/12
Paper Plates,11/25/12
Favorite Kind of Day,11/26/12
Altered Books,11/27/12
Handprint Turkey,11/28/12
Mask-making,11/29/12
Unwrapping Presents,11/30/12
Tissue Paper Puzzle,12/01/12
Unwrapping Presents,12/02/12
Coffee Filter Art,12/03/12
Mural,12/04/12
Make a Wreath,12/05/12
Tasty Paint,12/06/12
Chalk Painting,12/07/12
Mosaics,12/08/12
Road Work,12/09/12
Hershey's Chocolate,12/10/12
Create your own Placemat,12/11/12
Shaving Cream Painting,12/12/12
Coloring,12/13/12
Book Cover about Yourself,12/14/12
Door Drawing,12/15/12
Mandala,12/16/12
Desert Island,12/17/12
Bird's Nest Drawing,12/18/12
Water Balloons,12/19/12
Pearler Beads,12/20/12
Marble Painting,12/21/12
Gelatin Rainbow,12/22/12
Tacos,12/23/12
Popsicles,12/24/12
Drawing Round Robin,12/25/12
Corn Cob Painting,12/26/12
Wash the Cars,12/27/12
Leaf Paintings,12/28/12
Shapes Treasure Hunt,12/29/12
Bagel Faces,12/30/12
Ornaments,12/31/12
