Subject,Start Date
Shaving Cream Painting,03/13/12
Cupcakes,03/14/12
Teddy Bear Picnic,03/15/12
Name Plates,03/16/12
Puffy Paint Painting,03/17/12
Coloring Sand,03/18/12
Pizza,03/19/12
Handprint Turkey,03/20/12
Chalk Painting,03/21/12
Kool-Aid Painting,03/22/12
Jewelry Making,03/23/12
Scratchboards,03/24/12
Milk Painting,03/25/12
Make a Card,03/26/12
Coffee Filter Art,03/27/12
Tissue Paper Collage,03/28/12
Picture Frames,03/29/12
Ornaments,03/30/12
Stained Glass,03/31/12
Paper Plates,04/01/12
Make a Card,04/02/12
Bagel Faces,04/03/12
Wash the Cars,04/04/12
Grow a garden,04/05/12
Coloring Sand,04/06/12
Egg Painting,04/07/12
Road Work,04/08/12
Pizza,04/09/12
Shaving Cream Painting,04/10/12
Holiday Art,04/11/12
Magic Goo,04/12/12
Shapes Treasure Hunt,04/13/12
Mask-making,04/14/12
Water Balloons,04/15/12
Music Making,04/16/12
Picture Frames,04/17/12
Hershey's Chocolate,04/18/12
Desert Island,04/19/12
Dream House,04/20/12
Unwrapping Presents,04/21/12
Rice Krispy Treats,04/22/12
White Mud,04/23/12
Cupcakes,04/24/12
Obstacle Course,04/25/12
Teddy Bear Picnic,04/26/12
White T-Shirts,04/27/12
Create your own Placemat,04/28/12
Altered Books,04/29/12
Book Cover about Yourself,04/30/12
Bird's Nest Drawing,05/01/12
Stained Glass,05/02/12
Mandala,05/03/12
Drawing Round Robin,05/04/12
Leaf Collage,05/05/12
White Mud,05/06/12
Paper Plates,05/07/12
Handprint Turkeys,05/08/12
Mosaics,05/09/12
Stamps,05/10/12
Paper Mache,05/11/12
Popsicles,05/12/12
White T-Shirts,05/13/12
Milk/Cookies,05/14/12
Picture Frames,05/15/12
Foot/Hand Prints,05/16/12
Magic Goo,05/17/12
Tie Dye,05/18/12
Obstacle Course,05/19/12
Rice Krispy Treats,05/20/12
Bagel Faces,05/21/12
Large Cutout Shape Puzzle,05/22/12
Wash the Cars,05/23/12
Golf Ball Painting,05/24/12
Make Kites,05/25/12
Tasty Paint,05/26/12
Torn Paper Collage,05/27/12
Milk Painting,05/28/12
Corn Cob Painting,05/29/12
Create Animal Environment,05/30/12
Leaf Paintings,05/31/12
Butterflies,06/01/12
Make Kites,06/02/12
Altered Books,06/03/12
Drawing Round Robin,06/04/12
Rice Krispy Treats,06/05/12
Tie Dye,06/06/12
Scratchboards,06/07/12
Handprint Turkey,06/08/12
Paper Mache,06/09/12
Torn Paper Collage,06/10/12
Leaf Collage,06/11/12
Chalk Painting,06/12/12
CD Cover,06/13/12
Sea Animals,06/14/12
Pizza,06/15/12
Body Trace,06/16/12
Spray Painting,06/17/12
Large Cutout Shape Puzzle,06/18/12
Ornaments,06/19/12
Marble Painting,06/20/12
Board Games,06/21/12
Pudding Painting,06/22/12
Milk/Cookies,06/23/12
Corn Syrup Painting,06/24/12
Group Puzzle,06/25/12
Decorate a pumpkin,06/26/12
Stamps,06/27/12
Tacos,06/28/12
Collage,06/29/12
Tasty Paint,06/30/12
CD Cover,07/01/12
Tasty Paint,07/02/12
Shield,07/03/12
Bridge,07/04/12
Body Trace,07/05/12
Gelatin Rainbow,07/06/12
Corn Syrup Painting,07/07/12
Desert Island,07/08/12
Picture Frames,07/09/12
Tacos,07/10/12
Board Games,07/11/12
Popsicles,07/12/12
Create your own Placemat,07/13/12
Salt Art,07/14/12
Clay,07/15/12
Make a Card,07/16/12
Mural,07/17/12
Group Puzzle,07/18/12
Music Making,07/19/12
Scratchboards,07/20/12
Road Work,07/21/12
Milk/Cookies,07/22/12
Cooking,07/23/12
Coffee Filter Art,07/24/12
Altered Books,07/25/12
Handprint Turkeys,07/26/12
Stamps,07/27/12
Coloring,07/28/12
Kool-Aid Painting,07/29/12
Shapes Treasure Hunt,07/30/12
Tissue Paper Collage,07/31/12
Tissue Paper Puzzle,08/01/12
Shadow Tracing/Painting,08/02/12
Picture Frames,08/03/12
Dream House,08/04/12
Paint a Rainbow,08/05/12
Sea Animals,08/06/12
Modeling dough,08/07/12
Music Making,08/08/12
Make Lemonade,08/09/12
Paper Plates,08/10/12
Snowflakes,08/11/12
Foot/Hand Prints,08/12/12
Kool-Aid Painting,08/13/12
Altered Books,08/14/12
Tie Dye,08/15/12
Scratchboards,08/16/12
Salt Art,08/17/12
Hershey's Chocolate,08/18/12
Coloring,08/19/12
Handprint Turkey,08/20/12
Grow a garden,08/21/12
Golf Ball Painting,08/22/12
White T-Shirts,08/23/12
Create your own Placemat,08/24/12
Paper Mache,08/25/12
Milk/Cookies,08/26/12
Egg Painting,08/27/12
Ornaments,08/28/12
Marble Painting,08/29/12
Make a Wreath,08/30/12
Create a Town,08/31/12
Music Making,09/01/12
Obstacle Course,09/02/12
Milk/Cookies,09/03/12
Picture Frames,09/04/12
White T-Shirts,09/05/12
Make Lemonade,09/06/12
Create Animal Environment,09/07/12
Door Drawing,09/08/12
Animal Most Like/Least Like,09/09/12
Leaf Paintings,09/10/12
Mosaics,09/11/12
Treasure Hunt,09/12/12
Shield,09/13/12
Shaving Cream Painting,09/14/12
Water Balloons,09/15/12
Bird's Nest Drawing,09/16/12
Pudding Painting,09/17/12
Book Cover about Yourself,09/18/12
Pearler Beads,09/19/12
Paper Mache,09/20/12
Tissue Paper Puzzle,09/21/12
White Mud,09/22/12
Hershey's Chocolate,09/23/12
Coloring Sand,09/24/12
Torn Paper Collage,09/25/12
Golf Ball Painting,09/26/12
Rice Krispy Treats,09/27/12
Mandala,09/28/12
Cupcakes,09/29/12
Holiday Art,09/30/12
Pearler Beads,10/01/12
Stamps,10/02/12
Coloring Sand,10/03/12
Torn Paper Collage,10/04/12
Bread Painting,10/05/12
Egg Painting,10/06/12
Road Work,10/07/12
Popsicles,10/08/12
Make Kites,10/09/12
Large Cutout Shape Puzzle,10/10/12
Coloring,10/11/12
Board Games,10/12/12
Decorate a pumpkin,10/13/12
Gelatin Rainbow,10/14/12
Music Making,10/15/12
Pizza,10/16/12
Cooking,10/17/12
Paint a Rainbow,10/18/12
Marble Painting,10/19/12
Teddy Bear Picnic,10/20/12
Jewelry Making,10/21/12
Ornaments,10/22/12
Sea Animals,10/23/12
Leaf Paintings,10/24/12
CD Cover,10/25/12
Scratchboards,10/26/12
Coffee Filter Art,10/27/12
Puffy Paint Painting,10/28/12
Shapes Treasure Hunt,10/29/12
Leaf Collage,10/30/12
Magic Goo,10/31/12
Drawing Round Robin,11/01/12
Coloring Sand,11/02/12
Tissue Paper Collage,11/03/12
Rice Krispy Treats,11/04/12
Make a Card,11/05/12
Animal Most Like/Least Like,11/06/12
Group Puzzle,11/07/12
Create a Town,11/08/12
Mandala,11/09/12
Dream House,11/10/12
Self-stick paper collage,11/11/12
Tacos,11/12/12
Ornaments,11/13/12
Golf Ball Painting,11/14/12
Tasty Paint,11/15/12
Water Balloons,11/16/12
Farm Animals,11/17/12
Mask-making,11/18/12
Shapes Treasure Hunt,11/19/12
Bridge,11/20/12
Foot/Hand Prints,11/21/12
Name Plates,11/22/12
Jewelry Making,11/23/12
Cling Wrap Painting,11/24/12
Shadow Tracing/Painting,11/25/12
Bagel Faces,11/26/12
Body Trace,11/27/12
Handprint Turkey,11/28/12
Coffee Filter Art,11/29/12
Shaving Cream Painting,11/30/12
Grow a garden,12/01/12
Handprint Turkey,12/02/12
Bird's Nest Drawing,12/03/12
Book Cover about Yourself,12/04/12
Collage,12/05/12
Drawing Round Robin,12/06/12
Music Making,12/07/12
White T-Shirts,12/08/12
Puffy Paint Painting,12/09/12
Picture Frames,12/10/12
Handprint Turkeys,12/11/12
Corn Cob Painting,12/12/12
Milk/Cookies,12/13/12
Board Games,12/14/12
Kool-Aid Painting,12/15/12
Cling Wrap Painting,12/16/12
Stamps,12/17/12
Self-stick paper collage,12/18/12
Shadow Tracing/Painting,12/19/12
Paper Plates,12/20/12
Tie Dye,12/21/12
Mural,12/22/12
Modeling dough,12/23/12
Make Kites,12/24/12
Milk Painting,12/25/12
Scratchboards,12/26/12
Stained Glass,12/27/12
Corn Syrup Painting,12/28/12
Make a Wreath,12/29/12
Torn Paper Collage,12/30/12
Tacos,12/31/12
