Subject,Start Date
Handprint Turkeys,05/01/12
Treasure Hunt,05/02/12
Butterflies,05/03/12
Bird's Nest Drawing,05/04/12
Book Cover about Yourself,05/05/12
Foot/Hand Prints,05/06/12
Modeling dough,05/07/12
Shapes Treasure Hunt,05/08/12
Chalk Painting,05/09/12
Finger Paint,05/10/12
Grow a garden,05/11/12
Rice Krispy Treats,05/12/12
Holiday Art,05/13/12
Pudding Painting,05/14/12
Mosaics,05/15/12
Make Lemonade,05/16/12
Kool-Aid Painting,05/17/12
Create Animal Environment,05/18/12
Pizza,05/19/12
Tissue Paper Puzzle,05/20/12
Dream House,05/21/12
Create your own Placemat,05/22/12
Scratchboards,05/23/12
Paper Mache,05/24/12
Picture Frames,05/25/12
Stamps,05/26/12
Teddy Bear Picnic,05/27/12
Ornaments,05/28/12
Road Work,05/29/12
Make a Card,05/30/12
Cupcakes,05/31/12
Book Cover about Yourself,06/01/12
Stamps,06/02/12
Shadow Tracing/Painting,06/03/12
Paper Mache,06/04/12
Picture Frames,06/05/12
Make a Card,06/06/12
Pudding Painting,06/07/12
Door Drawing,06/08/12
Obstacle Course,06/09/12
Pearler Beads,06/10/12
Mural,06/11/12
Coloring,06/12/12
Jewelry Making,06/13/12
Finger Paint,06/14/12
Mosaics,06/15/12
Favorite Kind of Day,06/16/12
Stained Glass,06/17/12
Milk Painting,06/18/12
Tissue Paper Collage,06/19/12
Corn Syrup Painting,06/20/12
Create your own Placemat,06/21/12
Dream House,06/22/12
Ornaments,06/23/12
Road Work,06/24/12
Paper Plates,06/25/12
Create Animal Environment,06/26/12
Leaf Collage,06/27/12
Coloring Sand,06/28/12
Mask-making,06/29/12
Puffy Paint Painting,06/30/12
Water Balloons,07/01/12
Mandala,07/02/12
Treasure Hunt,07/03/12
Milk Painting,07/04/12
White Mud,07/05/12
Shield,07/06/12
Magic Goo,07/07/12
Tissue Paper Collage,07/08/12
Cupcakes,07/09/12
Grow a garden,07/10/12
Shapes Treasure Hunt,07/11/12
Picture Frames,07/12/12
Mural,07/13/12
Desert Island,07/14/12
Foot/Hand Prints,07/15/12
Shaving Cream Painting,07/16/12
Drawing Round Robin,07/17/12
Obstacle Course,07/18/12
Animal Most Like/Least Like,07/19/12
Golf Ball Painting,07/20/12
Create Animal Environment,07/21/12
Unwrapping Presents,07/22/12
Decorate a pumpkin,07/23/12
Scratchboards,07/24/12
Large Cutout Shape Puzzle,07/25/12
Sea Animals,07/26/12
Teddy Bear Picnic,07/27/12
Door Drawing,07/28/12
Bridge,07/29/12
Paper Plates,07/30/12
Make a Card,07/31/12
Leaf Paintings,08/01/12
Shield,08/02/12
Tasty Paint,08/03/12
Door Drawing,08/04/12
Paper Mache,08/05/12
Make Lemonade,08/06/12
Mask-making,08/07/12
Teddy Bear Picnic,08/08/12
Drawing Round Robin,08/09/12
Confetti Collage,08/10/12
Clay,08/11/12
Puffy Paint Painting,08/12/12
Coffee Filter Art,08/13/12
Unwrapping Presents,08/14/12
Picture Frames,08/15/12
Treasure Hunt,08/16/12
Bread Painting,08/17/12
Stamps,08/18/12
Popsicles,08/19/12
Group Puzzle,08/20/12
Hershey's Chocolate,08/21/12
Collage,08/22/12
Make a Wreath,08/23/12
Mandala,08/24/12
Picture Frames,08/25/12
Cooking,08/26/12
Chalk Painting,08/27/12
Bridge,08/28/12
Altered Books,08/29/12
Coloring,08/30/12
Bagel Faces,08/31/12
Music Making,09/01/12
Puffy Paint Painting,09/02/12
Grow a garden,09/03/12
Clay,09/04/12
Bird's Nest Drawing,09/05/12
Shadow Tracing/Painting,09/06/12
Book Cover about Yourself,09/07/12
Holiday Art,09/08/12
Cupcakes,09/09/12
Large Cutout Shape Puzzle,09/10/12
Spray Painting,09/11/12
Tissue Paper Collage,09/12/12
Coffee Filter Art,09/13/12
Rice Krispy Treats,09/14/12
Unwrapping Presents,09/15/12
Snowflakes,09/16/12
Mural,09/17/12
Tasty Paint,09/18/12
Make Lemonade,09/19/12
CD Cover,09/20/12
Door Drawing,09/21/12
Leaf Paintings,09/22/12
Tie Dye,09/23/12
Sea Animals,09/24/12
Drawing Round Robin,09/25/12
Milk Painting,09/26/12
Name Plates,09/27/12
Make a Wreath,09/28/12
Bread Painting,09/29/12
Scratchboards,09/30/12
Group Puzzle,10/01/12
Cling Wrap Painting,10/02/12
Mural,10/03/12
Gelatin Rainbow,10/04/12
Tie Dye,10/05/12
Magic Goo,10/06/12
Bird's Nest Drawing,10/07/12
Butterflies,10/08/12
Scratchboards,10/09/12
Jewelry Making,10/10/12
Dream House,10/11/12
Confetti Collage,10/12/12
Make Kites,10/13/12
Bagel Faces,10/14/12
Popsicles,10/15/12
Pearler Beads,10/16/12
Clay,10/17/12
Paper Plates,10/18/12
Rice Krispy Treats,10/19/12
White Mud,10/20/12
Ornaments,10/21/12
Large Cutout Shape Puzzle,10/22/12
Create Animal Environment,10/23/12
Decorate a pumpkin,10/24/12
Treasure Hunt,10/25/12
Make a Card,10/26/12
Mosaics,10/27/12
Book Cover about Yourself,10/28/12
Finger Paint,10/29/12
Hershey's Chocolate,10/30/12
Grow a garden,10/31/12
Stained Glass,11/01/12
Chalk Painting,11/02/12
Decorate a pumpkin,11/03/12
Paper Plates,11/04/12
Shadow Tracing/Painting,11/05/12
Tie Dye,11/06/12
Paper Plates,11/07/12
Handprint Turkeys,11/08/12
Jewelry Making,11/09/12
Make a Wreath,11/10/12
Digging for Treasure,11/11/12
CD Cover,11/12/12
Spray Painting,11/13/12
Leaf Paintings,11/14/12
Coloring,11/15/12
Make Kites,11/16/12
Book Cover about Yourself,11/17/12
Handprint Turkey,11/18/12
Paper Mache,11/19/12
Rice Krispy Treats,11/20/12
Wash the Cars,11/21/12
Coloring Sand,11/22/12
Ornaments,11/23/12
Body Trace,11/24/12
Mandala,11/25/12
Finger Paint,11/26/12
Golf Ball Painting,11/27/12
Snowflakes,11/28/12
Marble Painting,11/29/12
Coffee Filter Art,11/30/12
Create Animal Environment,12/01/12
Make a Wreath,12/02/12
Bread Painting,12/03/12
Shield,12/04/12
Bird's Nest Drawing,12/05/12
Shaving Cream Painting,12/06/12
CD Cover,12/07/12
Magic Goo,12/08/12
Rice Krispy Treats,12/09/12
Butterflies,12/10/12
Cling Wrap Painting,12/11/12
Farm Animals,12/12/12
Paper Plates,12/13/12
Snowflakes,12/14/12
Paper Plates,12/15/12
Bagel Faces,12/16/12
Marble Painting,12/17/12
Treasure Hunt,12/18/12
Large Cutout Shape Puzzle,12/19/12
Torn Paper Collage,12/20/12
Leaf Collage,12/21/12
Puffy Paint Painting,12/22/12
Cooking,12/23/12
Road Work,12/24/12
Make Kites,12/25/12
Coffee Filter Art,12/26/12
Pudding Painting,12/27/12
Body Trace,12/28/12
Make a Card,12/29/12
Finger Paint,12/30/12
Board Games,12/31/12
